Index,Unnamed: 0,At,At.1
0,,31 December,31 December
1,Presented in EUR (000),2021,2020
2,Cash and due from banks,"170,175","34,328"
3,Deposits in margin accounts,"30,740","26,240"
4,Debt investment securities,"652,448","687,961"
5,Derivative financial instruments,"24,279","26,701"
6,Loans,"2,344,438","2,042,921"
7,Equity investments,"25,777","26,310"
8,Accrued interest receivable,"27,181","23,512"
9,Other assets,"15,954","9,490"
10,On-balance-sheet,"3,290,992","2,877,463"
11,Undrawn commitments,"237,471","274,031"
12,Total,"3,528,463","3,151,494"
