Index,Unnamed: 0,Unnamed: 1,From 1,From 3,From 1.1,Unnamed: 2,Unnamed: 3
0,,Up to 1,month to 3,months to,year to,Over 5,
1,Presented in EUR (000),month,months,1 year,5 years,years,Total
2,,,,,,,
3,Borrowings,"22,073","60,808","330,493","1,371,971","690,781","2,476,126"
4,Derivative financial instruments,-,"1,854","3,087","14,732","26,196","45,869"
5,Other and lease liabilities,-,"1,616","8,684",-,-,"10,300"
6,Financial Liabilities at 31 December 2021,"22,073","64,278","342,264","1,386,703","716,977","2,532,295"
7,,,,,,,
8,Borrowings,"18,223","60,944","555,212","1,167,718","229,256","2,031,353"
9,Derivative financial instruments,-,-,"12,540","1,514","14,881","28,935"
10,Other and lease liabilities,-,"1,513","10,229",-,-,"11,742"
11,Financial Liabilities at 31 December 2020,"18,223","62,457","577,981","1,169,232","244,137","2,072,030"
