Index,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Carrying
0,Presented in EUR (000),Level 1,Level 2,Level 3,Amount
1,Derivative financial instruments – assets,-,"24,279",-,"24,279"
2,Fair value through profit or loss:,,,,
3,Loans,-,-,"15,014","15,014"
4,Equity investments,-,-,791,791
5,Fair value through other comprehensive income:,,,,
6,Debt investment securities,"652,448",-,-,"652,448"
7,Equity investments,-,,"24,986","24,986"
8,Derivative financial instruments – liabilities,-,"(45,869)",-,"(45,869)"
9,At 31 December 2021,"652,448","(21,590)","40,791","671,649"
