Index,Cross Currency Swaps,"143,177",231,-
0,Total Derivatives designated in cash,,,
1,flow hedges:,"143,177",231,-
2,Derivatives held for risk management,,,
3,purposes- not designated in hedging,,,
4,relationships:,,,
5,Interest Rate Swaps,"379,263",15,"(16,969)"
6,Cross Currency Swaps,"1,061,402","23,934","(19,606)"
7,Forwards,-,-,-
8,Cap/floor,"160,000",99,-
9,Total Derivatives held for risk,,,
10,management purposes- not,,,
11,designated in hedging relationships:,"1,600,665","24,049","(36,575)"
12,,,,
13,Total,"1,899,019","24,279","(45,869)"
