Index,Unnamed: 0,Unnamed: 1,Unnamed: 2,Furniture,Computers,Unnamed: 3
0,,Buildings,,and office,and office,
1,Presented in EUR (000),(leasehold),Vehicle,accessories,equipment,Total
2,,,,,,
3,Cost,,,,,
4,,,,,,
5,At 31 December 2019,882,150,603,"1,775","3,410"
6,Additions,3,-,40,168,211
7,Disposals,-,-,-,-,-
8,At 31 December 2020,885,150,643,"1,943","3,621"
9,Additions,22,-,12,154,188
10,Disposals,-,-,(5),(24),(29)
11,At 31 December 2021,907,150,650,"2,073","3,780"
12,,,,,,
13,Accumulated depreciation,,,,,
14,,,,,,
15,At 31 December 2019,859,78,521,"1,463","2,921"
16,Charges,15,30,40,186,271
17,Disposals,-,-,-,-,-
18,At 31 December 2020,874,108,561,"1,649","3,192"
19,Charges,13,18,29,189,249
20,Disposals,-,-,(5),(24),(29)
21,At 31 December 2021,887,126,585,"1,814","3,412"
22,,,,,,
23,Net book value,,,,,
24,,,,,,
25,At 31 December 2021,20,24,65,259,368
26,At 31 December 2020,11,42,82,294,429
27,At 31 December 2019,23,72,82,312,489
